county,year,binary_congress,journos,stories,binary_2014,pop,perc_aian,perc_asian,perc_black,perc_other,perc_white,#_hispanic,median_age,perc_hispanic,perc_hs,perc_bach,per_cap_income,binary_treated,binary_post_treat,voter_part,comments,don_number,don_sum,don_uni,notes
Burke,2011,0,790,306,0,90203,0.819263217,4.300300433,6.699333725,1.546511757,86.63459087,4898,41.72261346,5.429974613,77.52,17.39,27783,1,0,10.47590594,4,270,32786.84,148,
Burke,2012,1,790,348,0,89619,0.867003649,4.326091565,6.686082192,1.621307982,86.49951461,5007,42.09976341,5.586984903,77.52,17.39,28940,1,0,63.11054422,4,679,81022.99,359,
Burke,2013,0,930,327,0,89151,0.914179314,4.351044856,6.674069837,1.698242308,86.36246369,5121,42.39382403,5.744186829,77.52,17.39,28927,1,0,7.581895649,4,621,35074.83,172,
Burke,2014,1,1100,403,0,89151,0.960168703,4.376843782,6.662852912,1.773395699,86.2267389,5260,42.64673452,5.900102074,77.52,17.39,30227,1,0,43.23023936,0,708,68007.7,277,
Burke,2015,0,1120,215,1,89321,1.007601796,4.403219848,6.650171852,1.849509074,86.08949743,5408,42.86747529,6.054567235,81.63,16.44,31665,1,0,10.81659973,8,763,91828.9,307,
Burke,2016,1,1090,157,1,90123,1.054114932,4.429501903,6.639814476,1.924037149,85.95253154,5596,43.07257346,6.209291746,81.63,16.44,32394,1,0,66.91028312,0,984,103314.74,434,
Burke,2017,0,1070,104,1,91077,1.10016799,4.455570561,6.628457239,1.999407095,85.81639711,5795,43.2182266,6.362748004,81.63,16.44,33844,1,1,10.62850769,2,1008,86124.1,351,
Burke,2018,1,920,161,1,91402,1.146583226,4.481302379,6.618017111,2.074352859,85.67974443,5951,43.37033493,6.510798451,81.63,16.44,34919,1,1,48.63878275,0,1748,204532.54,707,
McDowell,2011,0,790,306,0,45139,0.717782849,0.923813111,3.958882563,1.151997164,93.24752431,2587,41.99486804,5.731185892,81.25,13.91,27007,1,0,2.715827338,0,80,5089.21,45,
McDowell,2012,1,790,348,0,45267,0.759935494,0.91899176,3.941060817,1.197340226,93.1826717,2696,42.3556701,5.955773522,81.25,13.91,27697,1,0,63.20284944,0,200,21242.59,90,
